ENGINESIZE,CYLINDERS,FUELCONSUMPTION_COMB,CO2EMISSIONS
1.8,4,8.3,191
1.8,4,7.9,182
1.4,4,8.3,191
1.4,4,8,184
1.4,4,8,184
1.4,4,7.5,172
1.8,4,8.3,191
1.8,4,7.9,182
1.4,4,8.3,191
1.4,4,8,184
1.2,4,6.9,159
1.2,4,6.9,159
5.3,8,13.8,317
5.3,8,18.4,294
5.3,8,13.8,317
5.3,8,18.4,294
5.3,8,13.8,317
5.3,8,18.4,294
5.3,8,13.8,317
5.3,8,18.4,294
3.6,6,12.3,283
3.6,6,12.6,290
1.4,4,8.4,193
1.4,4,8.1,186
1.4,4,9,207
3.6,6,10.3,237
2.4,4,10.1,232
2.4,4,10.7,246
3.6,6,10.5,242
3.6,6,14.4,230
2.4,4,9.8,225
2.4,4,10,230
3.6,6,10.5,242
3.6,6,14.4,230
5.7,8,12.8,294
3.6,6,10.9,251
5.7,8,13.4,308
3.6,6,10.9,251
3.6,6,14.8,237
3.6,6,10.3,237
3.6,6,13.9,222
6.4,8,13.8,317
3.6,6,12,276
3.6,6,16.8,269
2.4,4,9.8,225
2.4,4,10,230
3.6,6,10.5,242
3.6,6,14.4,230
3.6,6,11.2,258
5.7,8,13.1,301
5.7,8,12.8,294
6.4,8,13.9,320
6.4,8,13.8,317
3.6,6,11.2,258
3.6,6,10.3,237
5.7,8,12.8,294
3.6,6,10.9,251
5.7,8,13.4,308
3.6,6,10.9,251
3.6,6,14.8,237
3.6,6,11.2,258
3.6,6,15.7,251
3.6,6,10.2,235
3.6,6,13.9,222
6.4,8,13.8,317
2,4,8.1,186
2.4,4,8.6,198
2.4,4,8.8,202
2,4,8.6,198
2,4,12.2,195
2.4,4,9.2,212
2.4,4,8.8,202
1.4,4,7.3,168
1.4,4,7.3,168
5.7,8,14.4,331
3.6,6,12.1,278
3.6,6,15.6,250
3.6,6,11.8,271
3.6,6,16.5,264
2.4,4,11.1,255
3.6,6,12.4,285
3.6,6,12,276
3.6,6,16.2,259
1.4,4,7.8,179
1.4,4,7.8,179
1.4,4,7.9,182
1.4,4,7.2,166
1.4,4,7.8,179
1.4,4,7.9,182
1.4,4,6.8,156
1.4,4,7.8,179
1.4,4,8.7,200
1.4,4,8.4,193
2,4,6,138
4.6,8,16.2,373
4.6,8,21.9,350
5.4,8,17.2,396
5.4,8,22.5,360
4.6,8,16.8,386
4.6,8,23,368
6.8,10,21.2,488
5.4,8,18.3,421
5.4,8,23.9,382
2,4,9.8,225
3.5,6,10.8,248
3.5,6,11.5,264
3.7,6,12.2,281
1.6,4,9.1,209
2,4,9.6,221
2.5,4,9.4,216
1.6,4,9.3,214
2,4,10,230
5.4,8,16,368
5.4,8,21.6,346
2,4,10.2,235
3.5,6,13,299
3.5,6,11.9,274
3.5,6,15.9,254
3.5,6,12.5,288
3.5,6,16.7,267
3.5,6,12.7,292
3.5,6,12.8,294
6.2,8,15.9,366
3.5,6,13.8,317
3.5,6,13.4,308
6.2,8,17.5,402
3.7,6,12.3,283
3.7,6,16.5,264
3.7,6,12.3,283
3.7,6,16.5,264
5,8,14.6,336
5,8,19.7,315
5,8,14.6,336
5,8,19.7,315
3.7,6,13.4,308
3.7,6,18,288
3.7,6,13.4,308
3.7,6,18,288
5,8,14.9,343
5,8,20,320
5,8,14.8,340
5,8,19.9,318
6.2,8,18,414
1.6,4,7.6,175
1.6,4,7.6,175
1,4,6.6,152
1.6,4,7,161
1.6,4,8,184
3.5,6,11.5,264
3.5,6,12.1,278
3.5,6,12.8,294
2,4,8.9,205
2,4,7.7,177
2,4,10.3,165
2,4,7.8,179
2,4,10.3,165
2,4,8,184
2,4,10.6,170
2,4,7.2,166
2,4,10.1,162
1.5,4,8.5,196
1.6,4,8.1,186
2,4,9,207
2.5,4,8.9,205
1.5,4,8.1,186
2,4,9.4,216
2,4,5.5,126
3.7,6,10.2,235
3.7,6,10.6,244
5,8,11.5,264
5,8,12.7,292
5.8,8,13.2,304
3.7,6,10.6,244
2,4,9.1,209
3.5,6,11.8,271
3.5,6,10.3,237
3.5,6,14.3,229
3.5,6,11.2,258
3.5,6,15.7,251
1.6,4,9.5,218
2.5,4,9.9,228
1.6,4,10.1,232
2.5,4,10.4,239
3.6,6,12.3,283
3.6,6,12.9,297
4.3,6,15.1,347
5.3,8,15.9,366
5.3,8,20.9,334
5.3,8,16.5,380
5.3,8,21.5,344
5.3,8,16.5,380
5.3,8,21.5,344
5.3,8,16.5,380
5.3,8,22.6,362
5.3,8,16.5,380
5.3,8,21.5,344
5.3,8,16.5,380
5.3,8,22.6,362
4.8,8,18,414
6,8,18.8,432
6,8,25.7,411
4.8,8,18.2,419
6,8,18.9,435
6,8,25.8,413
4.3,6,11.8,271
4.3,6,16.8,269
5.3,8,12.7,292
5.3,8,16.9,270
6.2,8,14.1,324
4.3,6,12.6,290
4.3,6,17.8,285
5.3,8,13,299
5.3,8,17.3,277
6.2,8,14.3,329
2.4,4,9.1,209
3.6,6,12,276
3.6,6,16.2,259
2.4,4,10,230
3.6,6,12.6,290
3.6,6,17,272
5.3,8,13.8,317
5.3,8,18.4,294
5.3,8,13.8,317
5.3,8,18.4,294
6.2,8,14.7,338
6.2,8,20.1,322
6.2,8,16.4,377
6.2,8,22.1,354
5.3,8,13.8,317
5.3,8,18.4,294
5.3,8,13.8,317
5.3,8,18.4,294
2.4,4,7.9,182
2.4,4,8.1,186
2.4,4,8.7,200
3.5,6,9.1,209
3.5,6,9.6,221
3.5,6,10.9,251
2,4,4.8,110
1.8,4,7,161
1.8,4,7.2,166
1.8,4,7.6,175
3.5,6,10.7,246
2.4,4,9.1,209
2.4,4,9.4,216
1.5,4,6.3,145
1.5,4,6.9,159
1.5,4,7.5,172
1.5,4,7.7,177
3.5,6,10.6,244
3.5,6,11.5,265
3.5,6,12,276
3.5,6,13.4,308
1.6,4,7.7,177
1.6,4,7.7,177
2,4,8.6,198
2,4,8.5,196
5,8,13.2,304
3.8,6,11.1,255
3.3,6,11.2,258
3.3,6,11.6,267
2.4,4,10.3,237
2,4,11.5,264
2.4,4,11.1,255
2,4,9.6,221
2.4,4,8.5,196
2.4,4,6.2,143
2.4,4,6.3,145
2,4,9.3,214
2,4,10.1,232
2.4,4,10,230
2,4,10.5,242
2.4,4,10.6,244
1.6,4,7.7,177
1.6,4,8,184
1.6,4,8.8,202
1.6,4,8.5,196
3.7,6,10.2,235
3.7,6,10.8,248
3.5,6,7.5,172
3.5,6,8.2,189
3.7,6,11.5,265
3.7,6,11.7,269
3.7,6,12.3,283
3.7,6,11.1,255
3.7,6,11.6,267
3.7,6,11,253
5.6,8,12.3,283
3.7,6,11.6,267
5.6,8,12.8,294
3.5,6,7.6,175
3.7,6,11.8,271
3.5,6,10.6,244
3.5,6,11,253
2.5,4,8.5,196
3.7,6,12.8,294
5,8,14.5,334
5.6,8,15,345
3,6,10.3,237
3,6,10.6,244
5,8,12.8,294
2,4,10.5,242
3,6,12.2,281
5,8,13.3,306
5,8,18.1,290
5,8,13.3,306
3,6,12.4,285
5,8,13.3,306
5,8,17.5,280
3,6,12.4,285
5,8,13.3,306
5,8,17.5,280
5,8,13.3,306
5,8,13.3,306
5,8,13.1,301
5,8,12.6,290
5,8,13.7,315
5,8,13.5,310
5,8,13.7,315
5,8,13.5,310
2.4,4,9.5,218
3.2,6,10.5,242
2.4,4,10,230
3.2,6,10.8,248
2.4,4,10.1,232
3.2,6,11,253
2.4,4,10.9,251
3.2,6,11.6,267
2,4,9.9,228
2,4,9.8,225
2,4,9.1,209
2.4,4,9.8,225
2.4,4,9.4,216
2.4,4,10.2,235
2.4,4,9.4,216
2.4,4,11.1,255
5.7,8,14.8,340
3,6,9.9,267
3.6,6,12.1,278
3.6,6,15.6,250
6.4,8,15.8,363
2,4,9.9,228
2,4,9.8,225
2,4,9.1,209
2.4,4,9.8,225
2.4,4,9.4,216
2.4,4,10.2,235
2.4,4,9.4,216
2.4,4,11.1,255
3.6,6,12.8,294
3.6,6,12.8,294
3.6,6,13.4,308
3.6,6,13.4,308
3.3,6,10.9,251
1.8,4,8.3,191
1.8,4,8,184
2,4,8.4,193
2,4,8.4,193
1.6,4,9.7,223
1.6,4,9.8,225
2,4,8.4,193
2,4,8.5,196
1.6,4,9.4,216
1.6,4,9.6,221
2,4,8.4,193
2,4,8.6,198
2,4,9.9,228
2.4,4,8.7,200
2.4,4,6.2,143
2.4,4,6.4,147
1.6,4,7.6,175
1.6,4,7.7,177
1.6,4,7.6,175
2,4,9.2,212
2,4,9.3,214
3.5,6,12,276
2.4,4,10.3,237
3.3,6,11.4,262
2.4,4,11,253
3.3,6,11.8,271
1.6,4,8.9,205
1.6,4,9,207
2,4,9.1,209
2,4,8.8,202
2.4,4,10,230
2.4,4,11.3,260
2,4,11.4,262
2.4,4,10.7,246
6.5,12,18.3,421
5.2,10,15.7,361
5.2,10,17.4,400
2,4,11.9,274
3,6,14.5,334
2,4,9.8,225
2,4,9.8,225
5,8,15.4,354
5,8,15.1,347
5,8,21.4,342
3,6,12.4,285
3,6,12.4,285
3,6,17.4,278
5,8,15,345
5,8,14.7,338
5,8,20.7,331
3,6,12.3,283
3,6,12.3,283
3,6,17.3,277
5,8,15.4,354
5,8,15.1,347
5,8,21.4,342
1.8,4,5.6,129
2.5,4,6,138
3.5,6,9.6,221
3.5,6,10.4,239
3.5,6,11,253
3.5,6,7.6,175
4.6,8,13.9,320
2.5,6,9.7,223
2.5,6,10.4,239
2.5,6,9.7,223
3.5,6,10.6,244
3.5,6,11,253
3.5,6,10.6,244
5,8,12.6,290
4.6,8,12.3,283
4.6,8,12.9,297
4.6,8,12.9,297
5,8,11.4,262
5.7,8,16.5,380
3.5,6,11.7,269
3.5,6,11.1,255
3.5,6,8.2,189
3.5,6,11.8,271
3.7,6,11.3,260
3.5,6,12.8,294
2,4,10.2,235
3.7,6,12.2,281
3.7,6,12.2,281
2,4,9,207
3.7,6,11.4,262
2,4,6.3,145
5.4,8,16,368
5.4,8,21.6,346
3,6,12.7,292
3,6,12.7,292
4.7,8,15.1,347
4.7,8,15.3,352
3.8,8,14.5,334
3,6,13.1,301
2,4,8.2,189
2,4,8,184
2.5,4,8.6,198
2,4,8.5,196
2.5,4,8.9,205
3.7,6,12.3,283
3.7,6,12.6,290
1.5,4,7.7,177
1.5,4,7.4,170
2,4,6.9,159
2,4,7,161
2.5,4,7.4,170
2.5,4,7.3,168
2,4,7,161
2,4,7.1,163
2,4,7.2,166
2.5,4,7.7,177
2.5,4,7.3,168
2,4,7.2,166
2.5,4,9.7,223
2.5,4,9.8,225
2.5,4,7.6,175
2.5,4,8.1,186
2.5,4,7.3,168
2,4,10.2,235
2,4,9.6,221
2,4,9.9,228
2,4,8,184
1.8,4,9.4,216
1.8,4,9.4,216
3.5,6,10.5,242
3.5,6,14,224
3.5,6,10.5,242
3.5,6,10.4,239
3.5,6,10.6,244
3.5,6,10.5,242
6.2,8,15.1,347
6.2,8,15.3,352
4.7,8,13.2,304
5.5,8,13.4,308
2,4,7.8,179
2,4,9.2,212
4.7,8,11.5,264
5.5,8,13.1,301
5.5,8,13.1,301
2.1,4,7.2,194
3.5,6,10.2,235
3.5,6,10,230
3.5,6,10.4,239
3.5,6,10.5,242
3.5,6,10.4,239
3.5,6,10.2,235
3.5,6,8.8,202
4.7,8,11.6,267
4.7,8,11.7,269
4.7,8,11.4,262
5.5,8,12.9,297
5.5,8,13.5,310
5.5,8,12.9,297
5.5,8,13.5,310
5.5,8,18.2,419
5.5,8,17.7,407
3,6,12,324
4.7,8,15.2,350
4.7,8,15.6,359
5.5,8,15.8,363
2.1,4,8.5,230
3.5,6,11.3,260
3.5,6,12.1,278
3.5,6,16,256
3,6,10.3,278
4.7,8,14.2,327
5.5,8,15.5,356
4.7,8,12.1,278
4.7,8,12,276
5.5,8,13.2,304
4.7,8,11.7,269
5.5,8,12.7,292
6,8,14.2,327
1.8,4,8.9,205
1.8,4,9,207
3.5,6,9.8,225
5.5,8,10.7,246
6.2,8,16.5,380
6.2,8,15.7,361
6.2,8,15.7,361
1.6,4,7.8,179
1.6,4,7.8,179
1.6,4,7.8,179
1.6,4,7.8,179
1.6,4,8.7,200
1.6,4,7.8,179
1.6,4,7.6,175
1.6,4,7.3,168
1.6,4,8.7,200
1.6,4,7.8,179
1.6,4,7.8,179
1.6,4,7.8,179
1.6,4,8.3,191
1.6,4,8,184
1.6,4,8.3,191
1.6,4,8,184
1.6,4,9,207
1.6,4,8.5,196
1.6,4,8.3,191
1.6,4,8,184
1.6,4,9,207
1.6,4,8.5,196
1.6,4,8.3,191
1.6,4,8,184
1.6,4,8.3,191
1.6,4,8,184
1.6,4,8.3,191
1.6,4,8,184
1.6,4,9,207
1.6,4,8.5,196
1.6,4,8.3,191
1.6,4,8,184
1.6,4,9,207
1.6,4,8.5,196
1.6,4,8.3,191
1.6,4,8,184
2,4,8.2,189
2,4,8.3,191
2.4,4,9.5,218
2,4,12.5,288
2,4,12.3,283
2,4,11.6,267
2,4,8.6,198
2,4,8.6,198
1.2,3,6,138
1.2,3,6.4,147
2.4,4,8.6,198
2.4,4,9.1,209
3,6,10.2,235
2,4,8.7,200
2,4,8.8,202
2,4,9,207
3.7,6,11,253
3.7,6,11.5,264
3.7,6,11.4,262
3.7,6,11.7,269
2.5,4,7.6,175
3.5,6,9.3,214
5.6,8,16.5,380
2.5,4,12.3,283
2.5,4,11.3,260
4,6,12.7,292
4,6,13.7,315
4,6,13.1,301
3.8,6,12.9,297
1.6,4,8.1,186
1.6,4,8.6,198
1.6,4,8.7,200
3.5,6,10.9,251
3.5,6,11.8,271
2,4,9.3,214
3.5,6,10.6,244
3.5,6,11,253
2.5,4,8.8,202
3.5,6,11.1,255
2.5,4,8.3,191
2.5,4,8.6,198
1.8,4,7,161
1.8,4,7.8,179
5.6,8,15.6,359
5.6,8,17.3,398
1.6,4,6.6,152
1.6,4,7.7,177
4,6,14.2,327
4,6,13.7,315
3.4,6,10.1,232
3.4,6,10.7,246
3.4,6,10.3,237
3.4,6,10.7,246
3.4,6,10.5,242
3.4,6,11,253
3.8,6,10.8,248
3.8,6,11,253
3.8,6,11,253
3.8,6,11.2,258
3.4,6,10.1,232
3.4,6,10.7,246
3.8,6,10.6,244
3.8,6,10.8,248
3.8,6,10.7,246
3.8,6,10.9,251
3.8,6,14,322
3.8,6,11.9,274
3.8,6,11.9,274
3.8,6,11.9,274
3.8,6,11.9,274
2.7,6,9.2,212
2.7,6,9.9,228
3.4,6,9.8,225
3.4,6,10.4,239
3.6,6,12.4,290
3.6,6,13.6,313
3,6,10.2,277
4.8,8,14.4,338
4.8,8,13.2,310
3,6,10.9,251
4.8,8,13.9,326
4.8,8,15.2,358
2.7,6,9.2,212
2.7,6,9.9,228
3.4,6,9.8,225
3.4,6,10.4,239
3.6,6,10.9,251
3.6,6,11.1,255
3,6,11.3,260
3,6,11.5,264
4.8,8,12.7,292
3,6,11.3,260
4.8,8,12.8,294
4.8,8,12.9,297
5.7,8,14.8,340
5.7,8,13.6,313
5.7,8,15.4,354
5.7,8,14.1,324
3,6,10.6,286
3.6,6,12.6,290
3.6,6,17.8,285
3,6,10.2,275
3.6,6,11.9,274
3.6,6,16.8,269
3.6,6,11.3,260
3.6,6,11.4,262
3.6,6,15.9,254
6.6,12,16,368
6.6,12,16,368
6.7,12,17.1,393
6.7,12,17.1,393
6.7,12,17.1,393
6.7,12,17.1,393
6.6,12,15.6,359
2,4,8.4,193
2,4,9.5,218
1.3,4,6.2,143
2.5,4,9,207
2.5,4,9,207
2.4,4,9.9,228
2.4,4,9.9,228
1.8,4,8,184
1.8,4,7.9,182
1,3,6.4,147
1,3,6.4,147
8.4,10,16.9,389
8.4,10,16.9,389
2,4,8.5,196
2,4,9.6,221
2,4,9.5,218
2.5,4,8.6,198
2.5,4,9.7,223
2,4,7.8,179
2,4,8.5,196
2.5,4,11.2,258
2.5,4,12.5,288
2,4,7.8,179
2,4,8.5,196
2.5,4,11.2,258
2.5,4,12.5,288
2.5,4,8.6,198
2.5,4,9.9,228
3.6,6,11.6,267
2.5,4,9,207
2.5,4,9.8,225
3.6,6,11.7,269
3.6,6,13.1,301
2,4,8.5,196
2,4,9.2,212
2,4,7.7,177
4,6,12.9,297
4,6,12.9,297
3.5,6,9.6,221
2.5,4,8.2,189
3.5,6,9.6,221
2.5,4,5.7,131
2.5,4,6,138
1.8,4,7.7,177
1.8,4,7.3,168
1.8,4,7.1,163
1.8,4,7.4,170
1.8,4,6.8,156
1.8,4,6.9,159
1.8,4,8.5,196
1.8,4,8.2,189
4,6,12.9,297
4,6,13.9,320
2.7,4,10.3,237
3.5,6,11.2,258
3.5,6,11.5,264
3.5,6,8.3,191
3.5,6,8.2,189
1.8,4,4.8,110
1.5,4,4.7,108
1.8,4,5.5,126
2.5,4,8.9,205
2.5,4,9.4,216
2.5,4,9.5,218
5.7,8,16.7,384
3.5,6,11.3,260
3.5,6,12.4,285
2.7,4,10.9,251
2.7,4,10.2,235
4,6,13.1,301
2.7,4,11.9,274
2.7,4,11.8,271
4,6,13.3,306
4,6,14,322
4,6,13.5,310
4.6,8,14.3,329
5.7,8,15.5,356
4.6,8,15.1,347
5.7,8,16.2,373
2.7,4,10,230
3.5,6,11,253
2.7,4,10.2,235
3.5,6,11.3,260
1.5,4,7.3,168
1.5,4,7.1,163
1.8,4,8.5,196
1.8,4,8.7,200
2,4,9.1,209
2,4,9.4,216
2.5,5,9.8,225
2.5,5,9.6,221
2,4,7.4,200
2,4,7.7,208
1.8,4,8.7,200
2,4,9.3,214
2,4,9.4,216
2.5,5,10.1,232
2,4,9.7,223
2,4,9.8,225
3.6,6,12.3,283
2,4,9.6,221
2.5,5,9.5,218
2.5,5,9.4,216
2,4,7.4,198
2,4,7.3,196
1.8,4,8.2,189
1.8,4,8.2,189
2,4,9.4,216
2,4,9,207
2,4,7.4,198
2,4,7.3,196
2,4,9,207
2,4,9.2,212
1.4,4,5.4,124
1.8,4,8.6,198
1.8,4,8.6,198
2.5,5,9.7,223
2.5,5,9.8,225
3.6,6,10.8,248
2,4,6.9,180
3.6,6,12.1,278
2,4,10.7,246
2,4,11.6,267
2,4,10.7,246
3.6,6,12.6,296
3,6,10.2,277
2.5,5,9.7,223
2.5,5,10.1,232
3,6,11.5,264
3.2,6,10.2,235
3,6,11.5,264
3.2,6,11.2,258
3,6,11.8,271
3.2,6,11.5,264
3,6,11.8,271
3.2,6,11.3,260
3.2,6,12.8,294
2,4,8.3,191
2.4,4,9.3,214
1.5,4,6.1,140
3.5,6,11.1,255
3.5,6,10.6,244
3.5,6,10,230
3.5,6,7.7,177
2.4,4,8.3,191
3.5,6,9.2,212
3.5,6,9.6,221
1.8,4,8.4,193
5.9,12,15.6,359
6,12,14.2,327
4.7,8,14.7,338
4.7,8,15.5,356
4.7,8,14.7,338
4.7,8,15.5,356
6,12,16.5,379
4.7,8,14.7,338
4.7,8,15.5,356
6,12,14.8,340
1.8,4,8.7,200
2,4,6.5,177
2,4,8.6,198
2,4,8.9,205
2,4,8.9,205
2,4,9.6,221
2,4,9.1,209
2,4,9.9,228
2,4,9.6,221
2,4,9.1,209
2,4,9.8,225
2,4,10.3,237
3,6,10.9,251
3,6,8.1,217
3,6,11,253
3,6,8.1,217
3,6,10.5,242
4,8,10.7,246
3,6,8.4,224
3,6,10.5,242
4,8,11,258
6.3,12,14.6,344
3,6,8.4,224
2,4,10.3,237
2,4,10.3,237
2,4,10.4,239
3,6,11.4,262
3,6,9,244
2,4,8.9,205
3,6,13.3,306
3,6,10.7,290
4.2,8,14.2,327
4.2,8,16.6,382
5.2,10,14.8,347
5.2,10,16.4,377
4.2,8,14.2,327
4.2,8,16.6,382
5.2,10,14.8,347
5.2,10,16.4,377
4.2,8,12.8,294
4.2,8,12.9,297
4,8,13.3,313
2,4,9,207
3,6,11,253
3,6,11.7,269
3,6,11,253
3,6,11.7,269
3,6,11.4,262
4,8,11.7,269
4,8,11.7,269
4,8,11.9,281
3,6,12.2,281
2,4,9.1,209
2,4,9.2,212
2,4,10.2,235
2,4,10.2,235
4,8,13.1,307
6,12,15.4,354
4,8,14.4,337
6,12,16,368
4,8,14.2,327
4,8,14.2,334
6,12,16.5,388
6.8,8,18.2,419
2,4,8.9,205
2,4,8.4,193
2,4,9,207
2,4,9.1,209
2,4,8.7,200
2,4,8.4,193
2,4,9,207
2,4,8.7,200
2,4,6.7,181
2,4,6.7,181
2,4,8.4,193
2,4,9,207
2,4,9.1,209
2,4,9.1,209
2,4,9.1,209
3,6,9.6,221
3,6,9.8,225
3,6,10,230
3,6,10.3,237
3,6,10,230
2,4,8.9,205
2,4,8.4,193
2,4,9,207
2,4,8.9,205
2,4,9,207
2,4,9.6,221
2,4,9.1,209
2,4,9.1,209
3,6,9.9,228
3,6,9.6,221
3,6,9.8,225
3,6,9.6,221
3,6,10.3,237
3,6,10,230
3,6,10.3,237
3,6,10,230
2,4,8.9,205
2,4,9.1,209
3,6,7.9,213
3,6,10.3,237
3,6,11,253
4.4,8,12.3,283
4.4,8,12.8,294
3,6,10.3,237
3,6,10.3,237
4.4,8,12.8,294
4.4,8,12.3,283
4.4,8,12.8,294
3,6,8.8,238
3,6,10.3,237
4.4,8,12.8,294
4.4,8,12.8,294
6,12,15.5,356
3,6,8.7,200
3,6,9.4,216
3,6,9.3,214
4.4,8,12.8,294
4.4,8,12.8,294
4.4,8,12.8,294
3,6,10.2,235
3,6,10.8,248
3,6,10.2,235
3,6,10.4,239
3,6,10,230
3,6,12.1,278
3,6,11.6,267
3,6,12.1,278
3,6,11.8,271
3,6,12.1,278
3,6,11.6,267
4.4,8,14.7,338
4.4,8,13.7,315
4.4,8,14.7,338
4.4,8,13.7,315
4.4,8,14.7,338
4.4,8,13.7,315
4.4,8,14.7,338
4.4,8,13.7,315
2,4,9.1,209
3,6,11.2,258
2,4,7.9,213
2,4,9.9,228
3,6,10.9,251
2,4,10.2,235
3,6,10.9,251
4.4,8,14.6,336
3,6,8.7,235
3,6,11.1,255
4.4,8,13.8,317
4.4,8,14.6,336
3,6,11.1,255
4.4,8,13.8,317
2,4,9.1,209
2,4,9,207
3,6,12.1,278
3,6,11,253
3,6,12.1,278
3.6,6,12.3,283
